Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Final Verification Status,Qualifying Reviewed Source IDs,Qualifying Source Count,Primary/Official Source Count,Reviewer Agent ID,Review Date,Notes
MV-E,CNT-DEC-STUDIO-NAME-001-121,CAN-DEC-STUDIO-NAME-001-121,io interactive,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-122,CAN-DEC-STUDIO-NAME-001-122,mercurysteam,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-123,CAN-DEC-STUDIO-NAME-001-123,taleworlds entertainment,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-124,CAN-DEC-STUDIO-NAME-001-124,game science,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-125,CAN-DEC-STUDIO-NAME-001-125,neowiz,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-126,CAN-DEC-STUDIO-NAME-001-126,creative assembly,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-127,CAN-DEC-STUDIO-NAME-001-127,relic entertainment,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-128,CAN-DEC-STUDIO-NAME-001-128,firaxis games,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-129,CAN-DEC-STUDIO-NAME-001-129,amplitude studios,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-130,CAN-DEC-STUDIO-NAME-001-130,slitherine,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-131,CAN-DEC-STUDIO-NAME-001-131,matrix games,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-132,CAN-DEC-STUDIO-NAME-001-132,bohemia interactive,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-133,CAN-DEC-STUDIO-NAME-001-133,egosoft,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
