Batch ID,Source ID,Counted Sample ID,Existing or New,URL / Official Record ID,Publisher/Institution,Source Origin Group,Source Type,Primary/Official Classification,Accessibility Result,Final URL,Identity Result,Claim Support Result,Qualifies as Evidence,Independence Pair ID,Reviewer Agent ID,Review Date,Review Time,Final Review Status,Notes
MV-F,SRC-DEC-STUDIO-NAME-001-301,CNT-DEC-STUDIO-NAME-001-151,EXISTING,https://www.adobe.com/,Adobe,ORG:www.adobe.com,Official organisation source,PRIMARY/OFFICIAL,RECHECK_REQUIRED,https://www.adobe.com/,FAIL,FAIL,NO,MV-F-PAIR-151,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,15:30:00+03:00,NEEDS_RECHECK,Live curl/Python checks did not complete reliably (timeout or TLS/protocol error); fail-closed.
MV-F,SRC-DEC-STUDIO-NAME-001-302,CNT-DEC-STUDIO-NAME-001-151,EXISTING,https://www.adobe.com/products/catalog.html,Adobe,ORG:www.adobe.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,RECHECK_REQUIRED,https://www.adobe.com/products/catalog.html,FAIL,FAIL,NO,MV-F-PAIR-151,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,15:30:00+03:00,NEEDS_RECHECK,Live curl/Python checks did not complete reliably (timeout or TLS/protocol error); fail-closed.
MV-F,SRC-DEC-STUDIO-NAME-001-303,CNT-DEC-STUDIO-NAME-001-152,EXISTING,https://www.autodesk.com/,Autodesk,ORG:www.autodesk.com,Official organisation source,PRIMARY/OFFICIAL,RECHECK_REQUIRED,https://www.autodesk.com/,FAIL,FAIL,NO,MV-F-PAIR-152,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,15:30:00+03:00,NEEDS_RECHECK,Live curl/Python checks did not complete reliably (timeout or TLS/protocol error); fail-closed.
MV-F,SRC-DEC-STUDIO-NAME-001-304,CNT-DEC-STUDIO-NAME-001-152,EXISTING,https://www.autodesk.com/products,Autodesk,ORG:www.autodesk.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.autodesk.com/products,PASS,PASS,YES,MV-F-PAIR-152,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,15:30:00+03:00,REVIEWED,Live HTTP access completed; page identity and current public organisation/product presence support the scoped activity claim.
MV-F,SRC-DEC-STUDIO-NAME-001-305,CNT-DEC-STUDIO-NAME-001-153,EXISTING,https://unity.com/,Unity Technologies,ORG:unity.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://unity.com/,PASS,PASS,YES,MV-F-PAIR-153,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,15:30:00+03:00,REVIEWED,Live HTTP access completed; page identity and current public organisation/product presence support the scoped activity claim.
MV-F,SRC-DEC-STUDIO-NAME-001-306,CNT-DEC-STUDIO-NAME-001-153,EXISTING,https://en.wikipedia.org/wiki/Unity_Technologies,Wikipedia / Wikimedia Foundation,PLATFORM:wikipedia.org,Independent reference,SECONDARY/INDEPENDENT,VERIFIED_ACCESSIBLE,https://en.wikipedia.org/wiki/Unity_Technologies,PASS,PASS,YES,MV-F-PAIR-153,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,15:30:00+03:00,REVIEWED,Live HTTP access completed; page identity and current public organisation/product presence support the scoped activity claim.
MV-F,SRC-DEC-STUDIO-NAME-001-307,CNT-DEC-STUDIO-NAME-001-154,EXISTING,https://www.epicgames.com/,Epic Games,ORG:www.epicgames.com,Official organisation source,PRIMARY/OFFICIAL,ACCESS_BLOCKED,https://www.epicgames.com/,FAIL,FAIL,NO,MV-F-PAIR-154,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,15:30:00+03:00,NEEDS_RECHECK,Live request returned HTTP 403; blocked evidence is non-qualifying.
MV-F,SRC-DEC-STUDIO-NAME-001-308,CNT-DEC-STUDIO-NAME-001-154,EXISTING,https://www.unrealengine.com/,Epic Games,ORG:www.unrealengine.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.unrealengine.com/,PASS,PASS,YES,MV-F-PAIR-154,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,15:30:00+03:00,REVIEWED,Live HTTP access completed; page identity and current public organisation/product presence support the scoped activity claim.
MV-F,SRC-DEC-STUDIO-NAME-001-309,CNT-DEC-STUDIO-NAME-001-155,EXISTING,https://www.nvidia.com/,Nvidia,ORG:www.nvidia.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://www.nvidia.com/tr-tr/,PASS,PASS,YES,MV-F-PAIR-155,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,15:30:00+03:00,REVIEWED,Live HTTP access completed; page identity and current public organisation/product presence support the scoped activity claim.
MV-F,SRC-DEC-STUDIO-NAME-001-310,CNT-DEC-STUDIO-NAME-001-155,EXISTING,https://www.nvidia.com/en-us/geforce/,Nvidia,ORG:www.nvidia.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.nvidia.com/en-us/geforce/,PASS,PASS,YES,MV-F-PAIR-155,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,15:30:00+03:00,REVIEWED,Live HTTP access completed; page identity and current public organisation/product presence support the scoped activity claim.
