Source ID,Sample ID,Collector Agent ID,Reviewer Agent ID,Accessibility Result,Identity Result,Claim Support Result,Classification Result,Independence Result,Final Review Status,Review Date,Review Time,Notes,Replacement Source ID
SRC-DEC-STUDIO-NAME-001-001,CNT-DEC-STUDIO-NAME-001-001,market-research-director,quality-assurance-director,RECHECK_REQUIRED,FAIL,FAIL,PASS,INDEPENDENT_PAIR_MEMBER,NEEDS_RECHECK,2026-08-08,20:51:10+03:00,Direct HTTP review; redirect recorded in source register,NOT_APPLICABLE
SRC-DEC-STUDIO-NAME-001-002,CNT-DEC-STUDIO-NAME-001-001,market-research-director,quality-assurance-director,VERIFIED_ACCESSIBLE,FAIL,FAIL,PASS,UNRESOLVED,NEEDS_RECHECK,2026-08-08,20:51:10+03:00,Direct HTTP review; redirect recorded in source register,NOT_APPLICABLE
SRC-DEC-STUDIO-NAME-001-003,CNT-DEC-STUDIO-NAME-001-002,market-research-director,quality-assurance-director,RECHECK_REQUIRED,FAIL,FAIL,PASS,INDEPENDENT_PAIR_MEMBER,NEEDS_RECHECK,2026-08-08,20:51:10+03:00,Direct HTTP review; redirect recorded in source register,NOT_APPLICABLE
SRC-DEC-STUDIO-NAME-001-004,CNT-DEC-STUDIO-NAME-001-002,market-research-director,quality-assurance-director,VERIFIED_ACCESSIBLE,FAIL,FAIL,PASS,UNRESOLVED,NEEDS_RECHECK,2026-08-08,20:51:10+03:00,Direct HTTP review; redirect recorded in source register,NOT_APPLICABLE
SRC-DEC-STUDIO-NAME-001-005,CNT-DEC-STUDIO-NAME-001-003,market-research-director,quality-assurance-director,VERIFIED_WITH_REDIRECT,PASS,PASS,PASS,INDEPENDENT_PAIR_MEMBER,REVIEWED,2026-08-08,20:51:10+03:00,Direct HTTP review; redirect recorded in source register,NOT_APPLICABLE
SRC-DEC-STUDIO-NAME-001-006,CNT-DEC-STUDIO-NAME-001-003,market-research-director,quality-assurance-director,RECHECK_REQUIRED,FAIL,FAIL,PASS,UNRESOLVED,NEEDS_RECHECK,2026-08-08,20:51:10+03:00,Direct HTTP review; redirect recorded in source register,NOT_APPLICABLE
SRC-DEC-STUDIO-NAME-001-007,CNT-DEC-STUDIO-NAME-001-004,market-research-director,quality-assurance-director,VERIFIED_ACCESSIBLE,PASS,PASS,PASS,INDEPENDENT_PAIR_MEMBER,REVIEWED,2026-08-08,20:51:10+03:00,Direct HTTP review; redirect recorded in source register,NOT_APPLICABLE
SRC-DEC-STUDIO-NAME-001-008,CNT-DEC-STUDIO-NAME-001-004,market-research-director,quality-assurance-director,VERIFIED_ACCESSIBLE,FAIL,FAIL,PASS,UNRESOLVED,NEEDS_RECHECK,2026-08-08,20:51:10+03:00,Direct HTTP review; redirect recorded in source register,NOT_APPLICABLE
SRC-DEC-STUDIO-NAME-001-009,CNT-DEC-STUDIO-NAME-001-005,market-research-director,quality-assurance-director,VERIFIED_ACCESSIBLE,PASS,PASS,PASS,INDEPENDENT_PAIR_MEMBER,REVIEWED,2026-08-08,20:51:10+03:00,Direct HTTP review; redirect recorded in source register,NOT_APPLICABLE
SRC-DEC-STUDIO-NAME-001-010,CNT-DEC-STUDIO-NAME-001-005,market-research-director,quality-assurance-director,RECHECK_REQUIRED,FAIL,FAIL,PASS,UNRESOLVED,NEEDS_RECHECK,2026-08-08,20:51:10+03:00,Direct HTTP review; redirect recorded in source register,NOT_APPLICABLE
